,
,"'Managed Challenge' Alleviates Disengagement in Co-evolutionary System Identification"
,"3-D Bayesian optical image reconstruction with domain decomposition"
,"3-D computed subsurface tomography"
,"A 2-D numerical study of chaotic &#64258;ow in a natural convection loop"
,"A comparative study of PVM workstation cluster implementations of a two-phase subsurface flow model"
,"A generalized model of social and biological contagion"
,"A Hybrid Genetic Algorithm with Pattern Search for finding Heavy Atoms in Protein Crystals"
,"A Local Method for Detecting Communities"
,"A Method for Isolating Morphological Effects on Evolved Behaviour"
,"A Method to Determine the Optimal Number of Measurements for Three-Dimensional Optical Tomography fo"
,"A Numerical Investigation of 3-D Flow Regimes in a Toroidal Natural Convection Loop"
,"A practical parallel retrofit of a 3-Dimensional surface water model"
,"A Probabilistic Functional Crossover Operator for Genetic Programming"
,"Accelerating Human-Computer Collaborative Search through Learning Comparative and Predictive User Mo"
,"Accelerating Self-Modeling in Cooperative Robot Teams"
,"Accounting for Model Errors in Ensemble Data Assimilation"
,"Action-Selection and Crossover Strategies for Self-Modeling Machines"
,"Active Coevolutionary Learning of Deterministic Finite Automata"
,"Active Learning with Adaptive Heterogeneous Ensembles"
,"Adaptive Informative Sampling for Active Learning"
,"Advances in 3-D frequency domain fluorescence tomography"
,"Aggressive shadowing of a low-dimensional model of atmospheric dynamics"
,"An Agent-Based Model for Estimating Consumer Adoption of PHEV Technology"
,"An agent-based model to study market penetration of plug-in hybrid electric vehicles"
,"An evolutionary algorithm approach to link prediction in dynamic social networks"
,"An experimental study of search in global social networks"
,"An Exploration-Estimation Algorithm for Synthesis and Analysis of Engineering Systems Using Minimal "
,"Analysis of a consumer survey on plug-in hybrid electric vehicles"
,"Analysis of a threshold model of social contagion on degree-correlated networks"
,"Automated Damage Diagnosis and Recovery for Remote Robotics"
,"Automated reverse engineering of nonlinear dynamical systems"
,"Automated Robot Function Recovery after Unanticipated Failure or Environmental Change using a Minimu"
,"Automated Synthesis of Body Schema using Multiple Sensor Modalities"
,"Automating Genetic Network Inference with Minimal Physical Experimentation Using Coevolution"
,"Avoiding Local Optima with User Demonstrations and Low-level Control"
,"Behavior Chaining: Incremental Behavior Integration for Evolutionary Robotics"
,"Biomedical optical tomography using dynamic parameterization and Bayesian conditioning on photon mig"
,"Boundary Element Solution of the Coupled Fluorescence Diffusion Equations"
,"Chaotic flow in a 2D natural convection loop with heat flux boundaries"
,"Co-evolutionary algorithm for structural damage identification using minimal physical testing"
,"Co-evolutionary Variance Can Guide Physical Testing in Evolutionary System Identification"
,"Codons in Evolutionary Computation"
,"Coevolutionary Dynamics of a Multi-Population Genetic Programming System"
,"Collective Philanthropy: Describing and Modeling the Ecology of Giving"
,"Collective Response of Human Populations to Large-Scale Emergencies"
,"Combined Structure and Motion Extraction from Visual Data Using Evolutionary Active Learning"
,"Combining Fitness-based Search and User Modeling in Evolutionary Robotics"
,"Communities and bottlenecks: Trees and treelike networks have high modularity"
,"Complex Dynamic Behavior During Transition in a Solid Combustion Model"
,"Cooperation in evolving social networks"
,"Coupled complex adjoint sensitivities for frequency-domain fluorescence tomography: theory and vecto"
,"Crowdsourcing Novel Childhood Predictors of Adult Obesity"
,"Crowdsourcing Predictors of Behavioral Outcomes"
,"Data-Driven Cluster Reinforcement and Visualization in Sparsely-Matched Self-Organizing Maps"
,"Defining the Boundaries of Normal Thrombin Generation: Investigations into Hemostasis"
,"Detection of single and multiple targets in tissue phantoms using fluorescence-enhanced optical imag"
,"Diagnostic imaging of breast cancer using fluorescence-enhanced optical tomography: phantom studies"
,"Differential Evolution of Constants in Genetic  Programming Improves Efficacy and Bloat"
,"Direct, physically motivated derivation of triggering probabilities for spreading processes on gener"
,"Direct, physically-motivated derivation of the contagion condition for spreading processes on genera"
,"Discovering Design Principles from Dominated Solutions"
,"Dynamic Computation of Network Statistics via Updating Schema"
,"Dynamic Resolution in the Co-Evolution of Morphology and Control"
,"Dynamic Structure of Networks Updated According to Simple, Local Rules"
,"Dynamics of influence processes on networks: Complete mean-field theory; the roles of response funct"
,"Efficient 3-D data inversion: Soil characterization and moisture monitoring from crosswell GPR at a "
,"Emergent Mating Topologies in Spatially Structured Genetic Algorithms"
,"Empirical correction of a toy climate model"
,"Ensemble Pruning via Individual Contribution Ordering"
,"Environmental Influence on the Evolution of Morphological Complexity in Machines"
,"Error Consideration in Contrast-Enhanced Three Dimensional Optical Tomography"
,"Estimating and Correcting Global Weather Model Error"
,"Estimating Distance to Critical Transitions from Time-series Synchrophasor Data"
,"Evaluating Local Community Methods in Networks"
,"Evolution of Functional Specialization in a Morphologically Homogeneous Robot"
,"Evolutionary Dynamics on Scale-Free Interaction Networks"
,"Evolutionary Feature Selection for Classification: A Plug-In Hybrid Vehicle Adoption Application"
,"Evolutionary Mining for Multivariate Associations in Large Time-Varying data sets: a Healthcare Netw"
,"Evolutionary Robotics for Legged Machines: From Simulation to Physical Reality"
,"Evolved Sensor Fusion and Dissociation in an Embodied Agent"
,"Evolving Complete Robots with CPPN-NEAT: The Utility of Recurrent Connections"
,"Evolving CPPNs to Grow Three-Dimensional Physical Structures"
,"Evolving Dynamics Gaits on a Physical Robot"
,"Evolving Modular Genetic Regulatory Networks"
,"Exact solutions for social and biological contagion models on mixed directed and undirected, degree-"
,"Experimental Frequency Domain Fluorescence Tomography"
,"Experimental study of inequality and unpredictability in an artificial cultural market"
,"Exploiting Multiple Robots to Accelerate Self-Modeling"
,"Exploratory Analysis in Time-Varying data sets: a Healthcare Network Application"
,"Eyjafjallajökull and 9/11: The Impact of Large-Scale Disasters on Worldwide Mobility"
,"Feature Selection and Classification in Noisy Epistatic Problems using a Hybrid Evolutionary Approac"
,"Flavor network and the principles of food pairing"
,"Fluorescence Photon Migration by the Boundary Element Method"
,"Fluorescence-enhanced optical imaging of large phantoms using single and simultaneous dual point ill"
